Expertise,Instructors,AverageTeacherRating,AverageCourseRating,AverageExperience,TotalEnrollments
Artificial Intelligence,6,3.17,3.16,5.5,389
Business,2,2.24,2.8,7.5,258
Cybersecurity,9,3.47,3.04,8.0,3450
Data Science,5,3.03,3.28,6.2,432
Design,4,2.29,3.16,5.5,324
Digital Marketing,11,3.05,3.55,5.36,479
Finance,6,3.26,3.17,5.33,410
Machine Learning,5,4.23,2.78,8.8,3303
Marketing,1,4.29,3.65,9.0,120
Programming,1,3.95,2.98,9.0,123
Project Management,5,2.66,3.08,6.2,368
Web Development,5,2.51,2.94,4.0,344
